------------------------------------------------------------------------------------------
  NO  | MATRICULA | NOMBRE        | APELLIDO P.  |  APELLIDO MAT.     | EDAD  | SEXO 
 233.-  322634      ALICIA          YEPIZ           ACOSTA              18      FEMENINO
 234.-  322640      BRENDA          NUNEZ           NUNEZ               44      FEMENINO
 235.-  322749      PANFILA         NUNEZ           LOPEZ               30      FEMENINO
 236.-  322818      KAKAROTO        YEPIZ           GARCIA              36      MASCULINO
 237.-  322912      VEGUETA         ACOSTA          ACOSTA              22      MASCULINO
 238.-  323041      GOHAN           LOPEZ           ACOSTA              54      MASCULINO
 239.-  323153      PEDRO           GARCIA          ACOSTA              47      MASCULINO
 240.-  323488      ROSA            GARCIA          TORRES              24      FEMENINO
 241.-  323629      MASIOSARE       MORALES         GARCIA              35      MASCULINO
 242.-  323671      MASIOSARE       MORALES         TORRES              40      MASCULINO
 243.-  323740      GOKU            CONTRERAS       TORRES              19      MASCULINO
 244.-  323791      JONH            SOTO            GARCIA              32      MASCULINO
 245.-  323805      LUPITA          ACOSTA          SOTO                34      FEMENINO
 246.-  324196      JOFREY          YEPIZ           YEPIZ               52      MASCULINO
 247.-  324263      MASIOSARE       MORALES         TORRES              41      MASCULINO
 248.-  324297      LUNA            SOTO            TORRES              51      FEMENINO
 249.-  324420      GOTEM           GARCIA          PEREZ               18      MASCULINO
 250.-  324504      ROSA            PEREZ           SOTO                50      FEMENINO
 251.-  324604      LUNA            SOTO            SOTO                29      FEMENINO
 252.-  324686      KASSANDRA       MORALES         NUNEZ               50      FEMENINO
 253.-  324905      ALICIA          CONTRERAS       PEREZ               35      FEMENINO
 254.-  324922      ROSA            LOPEZ           GARCIA              31      FEMENINO
 255.-  324953      PEDRO           CONTRERAS       ACOSTA              29      MASCULINO
 256.-  324989      KAKAROTO        GARCIA          TORRES              43      MASCULINO
 257.-  325043      JOFREY          TORRES          SOTO                28      MASCULINO
 258.-  325465      MARIA           CONTRERAS       ACOSTA              26      FEMENINO
 259.-  325472      VEGUETA         LOPEZ           ACOSTA              41      MASCULINO
 260.-  325546      VEGUETA         CONTRERAS       SOTO                23      MASCULINO
 261.-  325644      BRENDA          PEREZ           TORRES              24      FEMENINO
 262.-  325737      VEGUETA         CONTRERAS       SOTO                40      MASCULINO
 263.-  325787      CRISTINA        PEREZ           ACOSTA              39      FEMENINO
 264.-  325834      KASSANDRA       NUNEZ           GARCIA              42      FEMENINO
 265.-  325896      GOTEM           MORALES         GARCIA              33      MASCULINO
 266.-  325925      JOFREY          CONTRERAS       SOTO                41      MASCULINO
 267.-  326059      GOHAN           ACOSTA          CONTRERAS           54      MASCULINO
 268.-  326063      ROSA            PEREZ           YEPIZ               22      FEMENINO
 269.-  326093      GOHAN           ACOSTA          NUNEZ               53      MASCULINO
 270.-  326310      EDRAD           MORALES         PEREZ               39      MASCULINO
 271.-  326345      PANFILA         TORRES          PEREZ               50      FEMENINO
 272.-  326530      JONH            CONTRERAS       YEPIZ               49      MASCULINO
 273.-  326539      GOKU            MORALES         NUNEZ               33      MASCULINO
 274.-  326691      MASIOSARE       YEPIZ           SOTO                18      MASCULINO
 275.-  326721      KAKAROTO        CONTRERAS       SOTO                19      MASCULINO
 276.-  326734      KASSANDRA       TORRES          SOTO                43      FEMENINO
 277.-  326761      KAKAROTO        SOTO            PEREZ               46      MASCULINO
 278.-  326852      ALICIA          GARCIA          SOTO                36      FEMENINO
 279.-  326857      PANFILA         YEPIZ           TORRES              50      FEMENINO
 280.-  326888      VEGUETA         TORRES          MORALES             42      MASCULINO
 281.-  326953      GOKU            YEPIZ           MORALES             27      MASCULINO
 282.-  327078      CRISTINA        YEPIZ           SOTO                35      FEMENINO
 283.-  327172      KASSANDRA       GARCIA          GARCIA              46      FEMENINO
 284.-  327221      PEDRO           SOTO            MORALES             18      MASCULINO
 285.-  327256      EDRAD           SOTO            MORALES             29      MASCULINO
 286.-  327331      GOHAN           LOPEZ           SOTO                32      MASCULINO
 287.-  327409      PANFILA         TORRES          LOPEZ               31      FEMENINO
 288.-  327661      JOFREY          TORRES          CONTRERAS           43      MASCULINO
 289.-  327696      MASIOSARE       PEREZ           YEPIZ               37      MASCULINO
 290.-  327754      ROSA            NUNEZ           CONTRERAS           54      FEMENINO
 291.-  327780      KASSANDRA       ACOSTA          TORRES              50      FEMENINO
 292.-  327863      BRENDA          YEPIZ           YEPIZ               41      FEMENINO
 293.-  327950      PEDRO           TORRES          CONTRERAS           30      MASCULINO
 294.-  327968      GOHAN           ACOSTA          YEPIZ               20      MASCULINO
 295.-  328100      PEDRO           NUNEZ           YEPIZ               42      MASCULINO
 296.-  328300      MASIOSARE       CONTRERAS       YEPIZ               30      MASCULINO
 297.-  328373      PANFILA         CONTRERAS       NUNEZ               21      FEMENINO
 298.-  328562      REYNA           CONTRERAS       YEPIZ               34      FEMENINO
 299.-  328636      REYNA           MORALES         TORRES              47      FEMENINO
 300.-  328710      ROSA            CONTRERAS       NUNEZ               27      FEMENINO
 301.-  328800      CRISTINA        SOTO            LOPEZ               16      FEMENINO
 302.-  328965      ROSA            LOPEZ           GARCIA              42      FEMENINO
 303.-  329090      MARIA           SOTO            CONTRERAS           24      FEMENINO
 304.-  329153      VEGUETA         PEREZ           SOTO                43      MASCULINO
 305.-  329256      MASIOSARE       CONTRERAS       SOTO                19      MASCULINO
 306.-  329585      MASIOSARE       CONTRERAS       CONTRERAS           52      MASCULINO
 307.-  329684      LUNA            TORRES          GARCIA              31      FEMENINO
 308.-  329768      JOFREY          YEPIZ           TORRES              47      MASCULINO
 309.-  330020      MARIA           LOPEZ           YEPIZ               34      FEMENINO
 310.-  330306      MASIOSARE       LOPEZ           CONTRERAS           25      MASCULINO
 311.-  330401      EDRAD           ACOSTA          PEREZ               50      MASCULINO
 312.-  330748      PEDRO           PEREZ           GARCIA              42      MASCULINO
 313.-  330748      PEDRO           PEREZ           GARCIA              42      MASCULINO
